patch_id,audit_row_number,deck,citizen_level,source_row,front,front_original,back_original,current_back,current_flags,docker_safe_back,docker_safe_flags,docker_final_back,docker_final_flags,recommended_choice,choice,custom_back,custom_flags,notes
BP0308,10466,Purple,12,118,להתייפייף,להתייפייף,To be self righteous,To be self righteous,needs_italian_review,essere autocompiaciuto; essere presuntuoso,,essere autocompiaciuto; essere presuntuoso,semantic_review,docker_safe,,,,
BP0309,10467,Purple,12,119,להשמיץ את,להשמיץ את,"to slander, defame","to slander, defame",needs_italian_review,calunniare; diffamare,,calunniare; diffamare,semantic_review,docker_safe,,,,
BP0310,10468,Purple,12,120,לפסול,לפסול,"disqualify, invalidate, rule out","disqualify, invalidate, rule out",needs_italian_review,squalificare; invalidare; escludere,,squalificare,,docker_safe,,,,
BP0311,10469,Purple,12,121,להתמצא ב,להתמצא ב,"to orientate, be knowledgeable","to orientate, be knowledgeable",needs_italian_review,orientarsi; essere competente,,bordo,,docker_safe,,,,
BP0312,10470,Purple,12,122,להנהן,להנהן,to nod,to nod,needs_italian_review,annuire; fare un cenno con la testa,,annuire; fare un cenno con la testa,semantic_review,docker_safe,,,,
BP0313,10471,Purple,12,123,ניתוח,ניתוח,"analysis, surgery","analysis, surgery",needs_italian_review,analisi (f.); chirurgia (f.),,,missing_from_docker_final,docker_safe,,,,
BP0314,10472,Purple,12,124,"ח""כ, חכים","ח""כ, חכים",Knesset member,Knesset member,needs_italian_review,membro della Knesset; deputato (m.),,Knesset,,docker_safe,,,,
BP0315,10473,Purple,12,125,₪ להרים את,₪ להרים את,to raise spirits,to raise spirits,needs_italian_review,sollevare il morale; incoraggiare,,sollevare il morale; incoraggiare,semantic_review,docker_safe,,,,
BP0316,10474,Purple,12,126,לעודד את,לעודד את,"to encourage, cheer","to encourage, cheer",needs_italian_review,incoraggiare; tifare per,,incoraggiare; tifare per,semantic_review,docker_safe,,,,
BP0317,10475,Purple,12,127,צביעות,צביעות,hypocrisy,hypocrisy,needs_italian_review,ipocrisia (f.); falsità (f.),,ipocrisia,,docker_safe,,,,
BP0318,10476,Purple,12,128,צבוע,צבוע,hypocrital,hypocrital,needs_italian_review,ipocrita; falso,,ipocrita; falso,semantic_review,docker_safe,,,,
BP0319,10477,Purple,12,129,הכשרה,הכשרה,Job training,Job training,needs_italian_review,formazione professionale; addestramento,,formazione,,docker_safe,,,,
BP0320,10478,Purple,12,130,מוכשר,מוכשר,"talented, gifted. Trained","talented, gifted. Trained",needs_italian_review,talentuoso; dotato; allenato,,talentuoso,,docker_safe,,,,
BP0321,10479,Purple,12,131,להתכופף,להתכופף,To bend over,To bend over,needs_italian_review,piegarsi; chinarsi,,piegare,,docker_safe,,,,
BP0322,10480,Purple,12,132,להדגים,להדגים,to demonstrate,to demonstrate,needs_italian_review,dimostrare; manifestare,,dimostrare; manifestare,semantic_review,docker_safe,,,,
BP0323,10481,Purple,12,133,:₪ להמחיש,:₪ להמחיש,To illustrate,To illustrate,needs_italian_review,illustrare; chiarire con esempi,,illustrare,,docker_safe,,,,
BP0324,10482,Purple,12,134,באמצעות,באמצעות,by means of,by means of,needs_italian_review,per mezzo di; tramite,,mezzi,,docker_safe,,,,
BP0325,10483,Purple,12,135,אמצעים,אמצעים,"means, measures","means, measures",needs_italian_review,mezzi (m.); misure (f.); provvedimenti (m.),,mezzi,,docker_safe,,,,
BP0326,10484,Purple,12,136,סמכות,סמכות,authority,authority,needs_italian_review,autorità (f.); potere (m.),,autorità,,docker_safe,,,,
BP0327,10485,Purple,12,137,בלתי אפשרי,בלתי אפשרי,impossible,impossible,needs_italian_review,impossibile; inconcepibile,,impossibile,,docker_safe,,,,
BP0328,10486,Purple,12,138,בלתי נשכח,בלתי נשכח,unforgettable,unforgettable,needs_italian_review,indimenticabile; memorabile,,,missing_from_docker_final,docker_safe,,,,
BP0329,10487,Purple,12,139,בלתי נסבל,בלתי נסבל,unbearable,unbearable,needs_italian_review,insopportabile; intollerabile,,,missing_from_docker_final,docker_safe,,,,
BP0330,10488,Purple,12,140,בלתי מנוצח,בלתי מנוצח,invincible,invincible,needs_italian_review,invincibile; imbattibile,,invincibile,,docker_safe,,,,
BP0331,10489,Purple,12,141,בלתי נתפס,בלתי נתפס,"incomprehensible, unimaginable","incomprehensible, unimaginable",needs_italian_review,incomprensibile; inimmaginabile,,incomprensibile,,docker_safe,,,,
BP0332,10490,Purple,12,142,₪ בלתי,₪ בלתי,920) 'N'72,920) 'N'72,needs_italian_review,920) 'N'72,semantic_review,920) 'N'72,semantic_review,current,,,,
BP0333,10491,Purple,12,143,להפיל,להפיל,drop,drop,needs_italian_review,goccia (f.); caduta (f.),,goccia,,docker_safe,,,,
BP0334,10492,Purple,12,144,שאלה מכשילה,שאלה מכשילה,trick question,trick question,needs_italian_review,domanda ingannevole; domanda trabocchetto,,trucco,,docker_safe,,,,
BP0335,10493,Purple,12,145,להיכשל,להיכשל,"to fail ; to falter, to stumble","to fail ; to falter, to stumble",needs_italian_review,fallire; vacillare; inciampare,,fallire; vacillare; inciampare,semantic_review,docker_safe,,,,
BP0336,10494,Purple,12,146,להכשיל את,להכשיל את,"to flunk, to cause someone to fail","to flunk, to cause someone to fail",needs_italian_review,bocciare; fare fallire qualcuno,,qualcuno,,docker_safe,,,,
BP0337,10495,Purple,12,147,חוסר אונים,חוסר אונים,"helpless, hopeless","helpless, hopeless",needs_italian_review,indifeso; disperato; senza speranza,,sperare,,docker_safe,,,,
BP0338,10496,Purple,12,148,"דתל""ש, דתל""שית","דתל""ש, דתל""שית",No longer religious,No longer religious,needs_italian_review,non più religioso; laico,,religioso,,docker_safe,,,,
BP0339,10497,Purple,12,149,משני,משני,secondary,secondary,needs_italian_review,secondario; minore; sussidiario,,secondario,,docker_safe,,,,
BP0340,10498,Purple,12,150,כותרת משנה,כותרת משנה,Secondary title,Secondary title,needs_italian_review,titolo secondario; sottotitolo (m.),,secondario,,docker_safe,,,,
BP0341,10499,Purple,12,151,מקריות,מקריות,"coincidence, happenstance","coincidence, happenstance",needs_italian_review,coincidenza (f.); caso (m.),,coincidenza,,docker_safe,,,,
BP0342,10500,Purple,12,152,מסר,מסר,"message, moral","message, moral",needs_italian_review,messaggio (m.); morale (m.),,messaggio,,docker_safe,,,,
BP0343,10501,Purple,12,153,למסירה,למסירה,Giveaway,Giveaway,needs_italian_review,omaggio (m.); lotto di premi; regalistica (f.),,omaggio,,docker_safe,,,,
BP0344,10502,Purple,12,154,לכאורה,לכאורה,"seemingly, supposedly","seemingly, supposedly",needs_italian_review,apparentemente; presumibilmente; a quanto pare,,apparentemente,,docker_safe,,,,
BP0345,10503,Purple,12,155,ניתן,ניתן,possible,possible,needs_italian_review,possibile; fattibile,,possibile,,docker_safe,,,,
BP0346,10504,Purple,12,156,להתחרפן,להתחרפן,to go crazy,to go crazy,needs_italian_review,impazzire; diventare pazzo,,impazzire; diventare pazzo,semantic_review,docker_safe,,,,
BP0347,10505,Purple,12,157,מחדל,מחדל,"Major mistake, negligence","Major mistake, negligence",needs_italian_review,errore grave; negligenza (f.),,errore,,docker_safe,,,,
BP0348,10506,Purple,12,158,חריג,חריג,"exceptional, unusual","exceptional, unusual",needs_italian_review,eccezionale; insolito; straordinario,,eccezionale,,docker_safe,,,,
BP0349,10507,Purple,12,159,מתבקש,מתבקש,"“Asks itself, begs the question","“Asks itself, begs the question",needs_italian_review,"“Asks itself, begs the question",semantic_review,"“Asks itself, begs the question",semantic_review,current,,,,
BP0350,10508,Purple,12,160,על הבוקר,על הבוקר,first thing in the morning,first thing in the morning,needs_italian_review,al mattino presto; di buon'ora,,primo,,docker_safe,,,,
BP0351,10509,Purple,12,161,לעמוד בזמנים,לעמוד בזמנים,To be on time,To be on time,needs_italian_review,essere puntuale; arrivare in orario,,tempo,,docker_safe,,,,
BP0352,10510,Purple,12,162,לעמוד ב,לעמוד ב,"to withstand, to be for something","to withstand, to be for something",needs_italian_review,resistere; sostenere; appoggiare,,resistere; sostenere; appoggiare,semantic_review,docker_safe,,,,
BP0353,10511,Purple,12,163,לעמוד במשימה,לעמוד במשימה,To be up to the task,To be up to the task,needs_italian_review,essere all'altezza; essere capace,,compito,,docker_safe,,,,
BP0354,10512,Purple,12,164,ליתר דיוק,ליתר דיוק,To be precise,To be precise,needs_italian_review,per essere precisi; per l'esattezza,,preciso,,docker_safe,,,,
BP0355,10513,Purple,12,165,לתאם,לתאם,"To coordinate, to schedule an appointment, to synchronise, to liaise","To coordinate, to schedule an appointment, to synchronise, to liaise",needs_italian_review,coordinare; fissare un appuntamento; sincronizzare,,coordinare,,docker_safe,,,,
BP0356,10514,Purple,12,166,להקפיד,להקפיד,"To be strict, to be careful, to do something as it should be done","To be strict, to be careful, to do something as it should be done",needs_italian_review,essere rigoroso; fare le cose per bene,,attento,,docker_safe,,,,
BP0357,10515,Purple,12,167,₪ בשל,₪ בשל,ra,ra,needs_italian_review,ra; sole (m.),,ra; sole (m.),semantic_review,docker_safe,,,,
BP0358,10516,Purple,12,168,להדביק את,להדביק את,To infect somebody,To infect somebody,needs_italian_review,infettare qualcuno; contagiare,,infettare,,docker_safe,,,,
BP0359,10517,Purple,12,169,להידבק מ,להידבק מ,To be infected by,To be infected by,needs_italian_review,essere infettato da; contrarre (malattia),,,missing_from_docker_final,docker_safe,,,,
BP0360,10518,Purple,12,170,להתפשר,להתפשר,To compromise,To compromise,needs_italian_review,compromesso; transare; scendere a compromessi,,compromesso,,docker_safe,,,,
BP0361,10519,Purple,12,171,להתנהל,להתנהל,"To manage yourself, to conduct yourself","To manage yourself, to conduct yourself",needs_italian_review,comportarsi; gestirsi,,,missing_from_docker_final,docker_safe,,,,
BP0362,10520,Purple,12,172,קלקול קיבה,קלקול קיבה,Food poisoning,Food poisoning,needs_italian_review,intossicazione alimentare; avvelenamento,,intossicazione alimentare,,docker_safe,,,,
BP0363,10521,Purple,12,173,מלכתחילה,מלכתחילה,"In the first place, from the beginning, all along","In the first place, from the beginning, all along",needs_italian_review,innanzitutto; da sempre; fin dall'inizio,,primo,,docker_safe,,,,
BP0364,10522,Purple,12,174,משק,משק,An economy or a farm,An economy or a farm,needs_italian_review,un'economia; un'azienda agricola,,economia,,docker_safe,,,,
BP0365,10523,Purple,12,175,משק בית,משק בית,"Housework, all the required household chores","Housework, all the required household chores",needs_italian_review,lavori domestici; faccende domestiche,,lavori domestici,,docker_safe,,,,
BP0366,10524,Purple,12,176,משק עבודה,משק עבודה,"Job market, work market, all the jobs in the economy","Job market, work market, all the jobs in the economy",needs_italian_review,mercato del lavoro,,economia,,docker_safe,,,,
BP0367,10525,Purple,12,177,להתאשפז,להתאשפז,"To be admitted to hospital, to be hospitalised","To be admitted to hospital, to be hospitalised",needs_italian_review,essere ricoverato; entrare in ospedale,,ospedale,,docker_safe,,,,
BP0368,10526,Purple,12,178,מזווית אחרת,מזווית אחרת,From another angle,From another angle,needs_italian_review,da un altro angolo; da un'altra prospettiva,,angolazione,,docker_safe,,,,
BP0369,10527,Purple,12,179,מנקודת מבט אחרת,מנקודת מבט אחרת,From another point of view,From another point of view,needs_italian_review,da un altro punto di vista,,vista,,docker_safe,,,,
BP0370,10528,Purple,12,180,תרגום מילולי,תרגום מילולי,literal translation,literal translation,needs_italian_review,traduzione letterale,,letterale,,docker_safe,,,,
BP0371,10529,Purple,12,181,בקטנה,בקטנה,no big deal,no big deal,needs_italian_review,niente di grave; non è importante,,,missing_from_docker_final,docker_safe,,,,
BP0372,10530,Purple,12,182,= כיום,= כיום,nowadays,nowadays,needs_italian_review,oggigiorno; al giorno d'oggi,,oggigiorno,,docker_safe,,,,
BP0373,10531,Purple,12,183,...מודע ל,...מודע ל,aware,aware,needs_italian_review,consapevole; informato,,consapevole,,docker_safe,,,,
BP0374,10532,Purple,12,184,להיאלץ,להיאלץ,to be forced,to be forced,needs_italian_review,essere forzato; essere costretto,,essere forzato; essere costretto,semantic_review,docker_safe,,,,
BP0375,10533,Purple,12,185,תכונות,תכונות,characteristics,characteristics,needs_italian_review,caratteristiche; proprietà (f.),,caratteristiche,,docker_safe,,,,
BP0376,10534,Purple,12,186,עקרוני,עקרוני,Out of principle (adj),Out of principle (adj),needs_italian_review,per principio; per questione di principio,,principio,,docker_safe,,,,
BP0377,10535,Purple,12,187,להתעסק,להתעסק,"to deal with, to busy oneself with","to deal with, to busy oneself with",needs_italian_review,affrontare; occuparsi di,,,missing_from_docker_final,docker_safe,,,,
BP0378,10536,Purple,12,188,הארה,הארה,Epiphany,Epiphany,needs_italian_review,epifania; illuminazione (f.),,,missing_from_docker_final,docker_safe,,,,
BP0379,10537,Purple,12,189,לא יקום ולא יהיה,לא יקום ולא יהיה,Under no circumstances,Under no circumstances,needs_italian_review,in nessun caso; per nulla al mondo,,circostanze,,docker_safe,,,,
BP0380,10538,Purple,12,190,מיטב כספי,מיטב כספי,Good money,Good money,needs_italian_review,bei soldi; soldi che valga la pena,,soldi,,docker_safe,,,,
BP0381,10539,Purple,12,191,יסודי (בית ספר),יסודי (בית ספר),elementary school,elementary school,needs_italian_review,scuola elementare,,elementare,,docker_safe,,,,
BP0382,10540,Purple,12,192,יסודי,יסודי,thorough,thorough,needs_italian_review,minuzioso; approfondito; scrupoloso,,ruvido,,docker_safe,,,,
BP0383,10541,Purple,12,193,קלמר,קלמר,pencil case,pencil case,needs_italian_review,astuccio (m.); portamatite (m.),,astuccio,,docker_safe,,,,
BP0384,10542,Purple,12,194,להתרוקן,להתרוקן,to become empty,to become empty,needs_italian_review,diventare vuoto; svuotarsi,,vuoto,,docker_safe,,,,
BP0385,10543,Purple,12,195,לרוקן את,לרוקן את,empty,empty,needs_italian_review,vuoto; deserto,,vuoto,,docker_safe,,,,
BP0386,10544,Purple,12,196,לסתום,לסתום,"to seal, to plug","to seal, to plug",needs_italian_review,sigillare; tappare; stappare,,sigillare; tappare; stappare,semantic_review,docker_safe,,,,
BP0387,10545,Purple,12,197,לנער את,לנער את,to shake,to shake,needs_italian_review,scuotere; agitare; tremato,,scuotere; agitare; tremato,semantic_review,docker_safe,,,,
BP0388,10546,Purple,12,198,בריונות,בריונות,bullying,bullying,needs_italian_review,bullismo (m.); molestia (f.),,bullismo,,docker_safe,,,,
BP0389,10547,Purple,12,199,בן לילה,בן לילה,overnight,overnight,needs_italian_review,durante la notte; all'improvviso,,durante la notte,,docker_safe,,,,
BP0390,10548,Purple,12,200,תביעה,תביעה,lawsuit,lawsuit,needs_italian_review,causa (f.); azione legale,,causa,,docker_safe,,,,
